GIDTR,County_name,Tract,Tot_Population_ACS_10_14,Low_Response_Score,Hispanic_ACS_10_14,Hispanic_ACSMOE_10_14,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,Prs_Blw_Pov_Lev_ACS_10_14,Prs_Blw_Pov_Lev_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14
48001950100,Anderson County,950100,5142,18.7,486,332,9.45,6.4,886,291,17.43,5.51
48001950401,Anderson County,950401,5842,31.2,1581,253,27.06,3.68,108,105,32.43,27.63
48001950402,Anderson County,950402,5586,28.8,1337,201,23.93,2.79,33,63,14.93,26.77
48001950500,Anderson County,950500,4666,23.7,1411,457,30.24,9.24,1553,428,33.96,8.6
48001950600,Anderson County,950600,6480,22.9,1038,445,16.02,6.72,1161,538,18.32,8.33
48001950700,Anderson County,950700,2606,27,880,282,33.77,9.94,713,241,30.05,9.37
48001950800,Anderson County,950800,4937,21.7,423,227,8.57,4.53,672,347,13.61,6.91
48001950901,Anderson County,950901,5659,20.6,960,309,16.96,5.21,767,293,16.13,5.89
48001950902,Anderson County,950902,5029,19.5,369,248,7.34,4.83,841,430,16.82,8.29
48001951000,Anderson County,951000,7385,19.5,666,348,9.02,4.65,790,339,10.94,4.61
48001951100,Anderson County,951100,4752,19.5,431,248,9.07,5.09,764,286,16.08,5.68
48003950100,Andrews County,950100,1994,20.2,436,170,21.87,8.06,70,69,3.51,3.43
48003950200,Andrews County,950200,6877,20.5,3342,405,48.6,5,630,339,9.26,4.94
48003950300,Andrews County,950300,4381,24.3,2846,363,64.96,5.83,758,374,17.86,8.64
48003950400,Andrews County,950400,2874,24.2,1735,257,60.37,7.91,364,230,12.67,7.95
48005000101,Angelina County,101,5959,20.1,680,451,11.41,7.46,1162,423,19.66,6.8
48005000102,Angelina County,102,4963,19.7,1073,441,21.62,8.5,575,335,11.59,6.61
48005000200,Angelina County,200,6815,22.5,1477,394,21.67,5.52,1902,523,27.91,7.35
48005000301,Angelina County,301,4571,20.7,562,241,12.29,5.13,597,264,13.35,5.75
48005000302,Angelina County,302,4671,20.9,806,229,17.26,4.71,799,300,17.13,6.29
48005000400,Angelina County,400,5488,24.3,882,619,16.07,11.15,2061,504,39.14,8.6
48005000500,Angelina County,500,3694,27.4,633,219,17.14,5.58,980,245,27.18,6.04
48005000600,Angelina County,600,6578,25.1,3117,568,47.39,7.51,1580,475,26.02,7.45
48005000700,Angelina County,700,4033,27.8,2349,357,58.24,6.83,1429,448,35.86,10.68
48005000800,Angelina County,800,6266,20.8,772,429,12.32,6.76,1255,673,20.03,10.59
48005000901,Angelina County,901,6702,17.8,678,292,10.12,4.26,622,404,9.53,6.13
48005000902,Angelina County,902,2853,22.3,257,153,9.01,5.26,224,116,8.39,4.24
48005001001,Angelina County,1001,6095,25.1,2654,461,43.54,6.34,1165,537,24.06,10.71
48005001002,Angelina County,1002,4721,21.6,1252,434,26.52,8.94,394,285,8.35,6
48005001100,Angelina County,1100,5986,18.3,259,249,4.33,4.14,713,317,12.08,5.24
48005001200,Angelina County,1200,2810,17,170,188,6.05,6.64,412,152,14.71,5.01
48005001300,Angelina County,1300,5228,19.3,343,308,6.56,5.85,1039,454,20.07,8.51
48007950100,Aransas County,950100,5639,18.8,577,218,10.23,3.72,1271,524,22.77,9.09
48007950200,Aransas County,950200,1146,12.8,95,51,8.29,4.25,29,24,2.53,2.06
48007950300,Aransas County,950300,7352,18.3,2057,476,27.98,6.14,1081,488,15.36,6.85
48007950400,Aransas County,950400,3463,23.1,1205,373,34.8,9.93,1101,283,33.01,7.5
48007950500,Aransas County,950500,6289,21.4,2199,549,34.97,7.97,1442,573,23.1,8.88
48007990000,Aransas County,990000,0,,0,13,,,0,13,,
48009020100,Archer County,20100,2809,14.6,101,65,3.6,2.3,184,121,6.55,4.27
48009020200,Archer County,20200,2707,18.6,242,88,8.94,3.17,278,124,10.31,4.53
48009020300,Archer County,20300,3337,19.4,361,85,10.82,2.41,491,201,15.17,6.1
48011950100,Armstrong County,950100,1947,16.8,229,11,11.76,0.92,194,93,10.34,4.91
48013960100,Atascosa County,960100,7075,24.3,3547,445,50.13,2.41,834,322,11.9,4.38
48013960201,Atascosa County,960201,7164,23.7,4622,663,64.52,6.61,1025,591,14.47,8.21
48013960202,Atascosa County,960202,9694,25.8,6629,861,68.38,6.61,1436,502,14.81,5.02
48013960300,Atascosa County,960300,3763,28.4,3457,228,91.87,0.23,890,352,23.95,9.33
48013960401,Atascosa County,960401,2136,25.6,1640,308,76.78,9.15,637,242,29.82,10.47
48013960402,Atascosa County,960402,7849,21.8,4062,658,51.75,7.33,1267,488,16.6,6.25
48013960500,Atascosa County,960500,2920,26.1,2218,395,75.96,9.53,592,253,20.43,8.34
48013960600,Atascosa County,960600,5742,24.1,2771,412,48.26,6.21,481,206,8.52,3.59
48015760100,Austin County,760100,2381,22.8,568,233,23.86,9.35,217,101,9.17,4.12
48015760200,Austin County,760200,6110,22.6,2193,384,35.89,5.44,845,400,13.89,6.46
48015760300,Austin County,760300,7139,21.4,2095,406,29.35,5.28,362,181,5.1,2.52
48015760400,Austin County,760400,3595,18.4,181,179,5.03,4.94,465,310,13.01,8.53
48015760501,Austin County,760501,4563,17.8,835,302,18.3,6.45,275,179,6.24,4.03
48015760502,Austin County,760502,4936,23,1272,437,25.77,8.61,743,424,15.05,8.51
48017950100,Bailey County,950100,7084,24,4208,194,59.4,2.74,1455,569,20.88,8.16
48019000101,Bandera County,101,4425,17.3,595,209,13.45,4.45,386,163,9.24,3.74
48019000102,Bandera County,102,4773,18.7,765,292,16.03,5.79,487,336,10.43,7.07
48019000200,Bandera County,200,2617,17.7,522,428,19.95,15.85,582,488,22.43,18.25
48019000300,Bandera County,300,6494,19.9,1312,311,20.2,4.36,1048,463,16.29,7.01
48019000400,Bandera County,400,2333,19.5,364,217,15.6,8.99,546,306,23.4,12.61
48021950100,Bastrop County,950100,9633,21.6,2940,707,30.52,6.91,1599,575,16.69,5.84
48021950200,Bastrop County,950200,7876,25.1,3763,549,47.78,6.82,1927,832,24.89,10.71
48021950300,Bastrop County,950300,13744,21.3,2437,581,17.73,3.93,1343,625,9.87,4.51
48021950400,Bastrop County,950400,7945,21.6,1764,525,22.2,6.23,685,558,9.11,7.36
48021950501,Bastrop County,950501,8002,25.6,3420,504,42.74,5.06,1237,471,18.62,6.83
48021950502,Bastrop County,950502,5412,19.8,932,515,17.22,9.05,619,354,11.64,6.34
48021950600,Bastrop County,950600,5004,20.4,1175,569,23.48,10.91,717,315,14.36,5.99
48021950700,Bastrop County,950700,4123,20.8,745,248,18.07,5.98,658,243,16.5,6.06
48021950801,Bastrop County,950801,6963,25.7,4725,933,67.86,10.6,1359,795,19.7,11.26
48021950802,Bastrop County,950802,7006,25.1,3747,702,53.48,7.73,1494,666,21.51,9.23
48023950300,Baylor County,950300,3648,19.5,424,131,11.62,3.59,597,200,16.8,5.61
48025950100,Bee County,950100,1890,21.4,636,159,33.65,6.85,291,129,15.8,6.59
48025950201,Bee County,950201,8077,26.9,3672,506,45.46,4.42,144,130,13.1,11.47
48025950202,Bee County,950202,5242,22.4,2743,448,52.33,6.89,1051,446,20.34,8.39
48025950300,Bee County,950300,5033,25,2867,322,56.96,4.28,1009,343,20.7,6.79
48025950400,Bee County,950400,2194,24.9,1348,227,61.44,7.69,460,188,21.02,8.26
48025950500,Bee County,950500,7479,28.4,5805,515,77.62,1.93,2208,640,32.31,8.89
48025950600,Bee County,950600,2547,24,1441,316,56.58,9.49,542,206,21.5,7.59
48027020100,Bell County,20100,6216,18.9,1118,359,17.99,5.59,383,150,6.16,2.36
48027020201,Bell County,20201,7142,16.2,636,322,8.91,4.42,404,392,5.66,5.46
48027020202,Bell County,20202,5689,19.1,887,234,15.59,3.61,601,290,10.56,4.92
48027020300,Bell County,20300,9414,19.9,1844,386,19.59,3.89,809,397,8.76,4.26
48027020401,Bell County,20401,3014,25,439,182,14.57,5.75,401,220,13.8,7.35
