County_name,count
Anderson County,11
Andrews County,4
Angelina County,17
Aransas County,5
Archer County,3
Armstrong County,1
Atascosa County,8
Austin County,6
Bailey County,1
Bandera County,5
Bastrop County,10
Baylor County,1
Bee County,7
Bell County,62
Bexar County,365
Blanco County,2
Borden County,1
Bosque County,7
Bowie County,18
Brazoria County,50
Brazos County,41
Brewster County,3
Briscoe County,1
Brooks County,2
Brown County,12
Burleson County,5
Burnet County,8
Caldwell County,8
Calhoun County,5
Callahan County,3
Cameron County,84
Camp County,3
Carson County,2
Cass County,7
Castro County,3
Chambers County,5
Cherokee County,12
Childress County,2
Clay County,3
Cochran County,1
Coke County,2
Coleman County,3
Collin County,152
Collingsworth County,1
Colorado County,5
Comal County,24
Comanche County,4
Concho County,1
Cooke County,8
Coryell County,18
Cottle County,1
Crane County,1
Crockett County,1
Crosby County,3
Culberson County,1
Dallam County,2
Dallas County,528
Dawson County,4
Deaf Smith County,4
Delta County,2
Denton County,137
DeWitt County,5
Dickens County,1
Dimmit County,2
Donley County,2
Duval County,3
Eastland County,5
Ector County,28
Edwards County,1
El Paso County,153
Ellis County,31
Erath County,8
Falls County,6
Fannin County,9
Fayette County,7
Fisher County,2
Floyd County,2
Foard County,1
Fort Bend County,76
Franklin County,3
Freestone County,7
Frio County,3
Gaines County,3
Galveston County,66
Garza County,1
Gillespie County,5
Glasscock County,1
Goliad County,2
Gonzales County,6
Gray County,7
Grayson County,26
Gregg County,25
Grimes County,6
Guadalupe County,29
Hale County,9
Hall County,1
Hamilton County,3
Hansford County,2
Hardeman County,1
Hardin County,11
Harris County,784
Harrison County,14
Hartley County,1
Haskell County,2
Hays County,25
Hemphill County,1
Henderson County,17
Hidalgo County,102
Hill County,11
Hockley County,7
Hood County,10
Hopkins County,9
Houston County,7
Howard County,10
Hudspeth County,1
Hunt County,19
Hutchinson County,7
Irion County,1
Jack County,3
Jackson County,3
Jasper County,8
Jeff Davis County,1
Jefferson County,70
Jim Hogg County,2
Jim Wells County,7
Johnson County,28
Jones County,6
Karnes County,4
Kaufman County,18
Kendall County,6
Kenedy County,1
Kent County,1
Kerr County,10
Kimble County,2
King County,1
Kinney County,1
Kleberg County,5
Knox County,2
La Salle County,1
Lamar County,12
Lamb County,5
Lampasas County,5
Lavaca County,6
Lee County,4
Leon County,3
Liberty County,14
Limestone County,8
Lipscomb County,2
Live Oak County,4
Llano County,6
Loving County,1
Lubbock County,67
Lynn County,3
Madison County,4
Marion County,4
Martin County,2
Mason County,2
Matagorda County,10
Maverick County,8
McCulloch County,3
McLennan County,51
McMullen County,1
Medina County,8
Menard County,1
Midland County,26
Milam County,7
Mills County,2
Mitchell County,2
Montague County,6
Montgomery County,59
Moore County,4
Morris County,3
Motley County,1
Nacogdoches County,13
Navarro County,10
Newton County,4
Nolan County,5
Nueces County,80
Ochiltree County,3
Oldham County,1
Orange County,21
Palo Pinto County,9
Panola County,6
Parker County,19
Parmer County,2
Pecos County,4
Polk County,10
Potter County,33
Presidio County,2
Rains County,2
Randall County,29
Reagan County,1
Real County,1
Red River County,4
Reeves County,5
Refugio County,2
Roberts County,1
Robertson County,5
Rockwall County,11
Runnels County,4
Rusk County,13
Sabine County,3
San Augustine County,3
San Jacinto County,4
San Patricio County,16
San Saba County,2
Schleicher County,1
Scurry County,4
Shackelford County,1
Shelby County,6
Sherman County,1
Smith County,41
Somervell County,2
Starr County,12
Stephens County,3
Sterling County,1
Stonewall County,1
Sutton County,1
Swisher County,3
Tarrant County,357
Taylor County,37
Terrell County,1
Terry County,3
Throckmorton County,1
Titus County,8
Tom Green County,25
Travis County,215
Trinity County,5
Tyler County,5
Upshur County,7
Upton County,2
Uvalde County,5
Val Verde County,9
Van Zandt County,10
Victoria County,22
Walker County,10
Waller County,5
Ward County,3
Washington County,6
Webb County,60
Wharton County,11
Wheeler County,2
Wichita County,36
Wilbarger County,4
Willacy County,5
Williamson County,89
Wilson County,11
Winkler County,3
Wise County,11
Wood County,10
Yoakum County,2
Young County,4
Zapata County,2
Zavala County,4
