urban_area,County_name,Tract,Tot_Population_ACS_10_14,Low_Response_Score,Hispanic_ACS_10_14,Hispanic_ACSMOE_10_14,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,Prs_Blw_Pov_Lev_ACS_10_14,Prs_Blw_Pov_Lev_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14
"Houston, TX",Harris County,542301,13779,21.6,7150,831,51.9,5.3,1854,898,13.5,6.5
"Houston, TX",Harris County,552601,5176,29,1272,494,24.6,9.2,1292,534,25.0,10.0
"Houston, TX",Fort Bend County,673800,9410,20.7,2009,643,21.4,6.7,440,299,4.7,3.2
"Houston, TX",Fort Bend County,674000,7973,18.8,940,261,11.8,3.1,360,207,4.5,2.6
"Houston, TX",Fort Bend County,674100,6930,15.4,948,374,13.7,5.3,98,93,1.4,1.3
"Houston, TX",Fort Bend County,674200,5652,12.3,282,177,5.0,3.1,172,191,3.0,3.4
"Houston, TX",Galveston County,720502,11227,18.5,2272,438,20.2,3.8,993,418,8.9,3.7
"Houston, TX",Galveston County,720501,3813,13.7,436,121,11.4,3.0,160,128,4.2,3.4
"Houston, TX",Galveston County,721202,4126,17.7,222,120,5.4,2.9,197,159,4.8,3.8
,Galveston County,722002,4132,21.3,1681,544,40.7,11.9,826,448,20.5,10.7
"Houston, TX",Galveston County,720301,2135,15.9,300,123,14.1,5.6,130,67,6.2,3.2
"Houston, TX",Galveston County,720503,14001,15.1,2273,478,16.2,3.3,460,324,3.3,2.3
"Houston, TX",Harris County,323701,4003,23.7,1285,522,32.1,12.6,546,377,14.6,10.0
"Houston, TX",Harris County,240702,12591,28.4,7326,1480,58.2,10.6,2110,963,16.8,7.5
"Houston, TX",Harris County,240501,6369,37.5,3837,621,60.2,7.9,2701,660,42.4,9.6
"Houston, TX",Harris County,240701,15653,28.1,7675,964,49.0,5.3,1204,583,7.7,3.7
"Houston, TX",Harris County,240901,9085,24.9,2936,576,32.3,5.8,1216,582,13.4,6.3
