urban_area,County_name,Tract,Low_Response_Score,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14
,Galveston County,722002,21.3,40.7,11.9,20.5,10.7
,Pecos County,950300,26.6,91.5,5.0,21.3,8.8
,Pecos County,950100,23.6,53.3,8.4,8.3,4.0
,Pecos County,950400,22.4,68.4,4.4,10.3,4.2
,Pecos County,950500,26.2,59.2,4.5,19.7,7.2
,Grimes County,180400,28.2,19.1,3.4,18.3,7.7
,Rusk County,950400,21.1,17.4,6.4,17.7,5.6
,Rusk County,950700,23.5,15.4,4.6,15.0,6.7
,Rusk County,950100,20.3,15.5,6.4,5.7,2.5
,Rusk County,950900,19.3,21.5,9.6,15.5,6.7
,Rusk County,951100,21.2,15.0,7.4,18.4,6.5
,Rusk County,950600,18.4,3.4,4.7,8.7,3.8
,Rusk County,951000,23.7,30.4,7.1,16.9,9.3
,Rusk County,951200,21.2,1.6,1.4,22.7,6.8
,Rusk County,950300,19.1,12.6,6.5,15.5,6.9
,Rusk County,950800,20.9,9.4,5.9,14.4,6.3
,Refugio County,950200,24,48.1,3.5,20.7,5.5
,Bell County,21201,25.3,16.8,3.5,11.2,6.2
,Bell County,21202,22,22.6,7.9,15.1,7.1
,Bell County,21301,16.6,13.8,4.5,7.0,4.7
,Fannin County,950100,20.4,14.5,6.7,21.8,5.5
,Fannin County,950500,18.9,2.1,2.1,17.3,4.7
,Fannin County,950600,19.3,4.7,2.5,10.4,4.8
,Fannin County,950300,17,4.7,3.5,12.7,3.4
,Fannin County,950702,18.8,13.8,5.1,14.9,5.3
,Fannin County,950701,20,9.2,5.0,15.1,5.4
,Denton County,20601,29.5,35.4,8.9,39.1,8.6
,Moore County,950100,23,38.7,6.3,15.1,5.5
,Moore County,950200,26.8,50.1,6.4,14.6,5.9
,Moore County,950300,21.7,49.5,6.1,25.3,8.5
,Moore County,950400,23.4,64.0,6.2,16.8,6.5
,Cooke County,600,20.9,30.6,7.4,12.7,5.1
,Orange County,20900,21.8,11.6,5.8,28.2,9.3
,Bandera County,101,17.3,13.4,4.5,9.2,3.7
,Bastrop County,950502,19.8,17.2,9.1,11.6,6.3
,Bell County,23403,14.6,13.7,7.6,4.9,3.2
,Bell County,23404,19.1,20.5,9.2,6.4,2.5
,Washington County,170100,25.4,26.7,9.8,19.8,8.9
,Washington County,170600,19.9,8.7,6.3,8.9,6.1
,Washington County,170400,21.8,21.7,5.6,13.7,6.6
,Washington County,170500,19.3,8.5,3.8,11.8,5.4
,Washington County,170300,19.1,11.0,3.2,14.9,6.1
,Washington County,170200,20.2,14.7,5.9,19.0,6.3
,Denton County,20800,30.8,15.3,5.4,35.9,7.1
,Denton County,20401,24.8,23.1,6.3,13.9,5.6
,Denton County,20202,19.5,19.9,6.6,4.9,2.6
,Denton County,20303,16.8,12.3,2.2,5.7,3.2
,Denton County,21403,20,16.2,5.1,3.5,1.4
,Kimble County,950100,18.5,20.1,5.0,11.9,4.4
,Kimble County,950200,21.5,27.4,5.4,29.8,6.7
,King County,950100,22.7,22.1,15.9,7.2,6.7
,Denton County,20402,17.6,11.2,2.7,10.3,3.6
